onset	duration	question	event_type	participant_response	normative_response	response_accuracy	stim_file
177.45846009254456	0.5817999839782715	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg
178.34214997291565	0.5821402072906494	lifting?	how_hand	yes	no	incorrect	task-tomspunt/H_077.jpg
179.22584009170532	0.6016600131988525	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg
180.14286994934082	0.6686902046203613	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg
191.79755997657776	0.4096400737762451	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_403.jpg
192.51451015472412	0.4515798091888428	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_086.jpg
193.28149008750916	0.47673988342285156	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_844.jpg
194.06512999534607	0.4846000671386719	open mouth?	how_face	no	no	correct	task-tomspunt/F_544.jpg
194.8654601573944	0.3752298355102539	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_776.jpg
195.54906010627747	0.6012699604034424	open mouth?	how_face	no	no	correct	task-tomspunt/F_648.jpg
196.4660999774933	0.3846101760864258	open mouth?	how_face	yes	yes	correct	task-tomspunt/F_692.jpg
197.16638016700745	0.6020197868347168	open mouth?	how_face	no	no	correct	task-tomspunt/F_584.jpg
209.30458998680115	0.7034599781036377	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg
210.3216700553894	0.4868199825286865	proud?	why_face	yes	no	incorrect	task-tomspunt/F_776.jpg
211.12198996543884	0.5196599960327148	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg
211.9556601047516	0.4687199592590332	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg
212.73931002616882	0.4189000129699707	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg
213.47293996810913	0.6180901527404785	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg
214.4066400527954	0.585089921951294	proud?	why_face	yes	yes	correct	task-tomspunt/F_695.jpg
215.3070101737976	0.5011599063873291	proud?	why_face	no	no	correct	task-tomspunt/F_760.jpg
227.52858996391296	1.2354001998901367	helping?	why_hand	no	yes	incorrect	task-tomspunt/H_024.jpg
