onset	duration	subtask_type	event_type	response_accuracy	cue_location	target_location	participant_response	trial_index
180.09	0.452	posner	target_response	correct	left	right	right	32
184.158	0.2	posner	valid_cue	correct	right	n/a	n/a	33
184.358	0.385	posner	target_response	correct	right	right	right	33
191.628	0.2	posner	valid_cue	correct	right	n/a	n/a	34
191.828	0.35	posner	target_response	correct	right	right	right	34
195.296	0.2	posner	invalid_cue	correct	left	n/a	n/a	35
195.496	0.447	posner	target_response	correct	left	right	right	35
200.164	0.2	posner	invalid_cue	correct	right	n/a	n/a	36
200.364	0.366	posner	target_response	correct	right	left	left	36
204.132	0.2	posner	valid_cue	correct	right	n/a	n/a	37
204.332	0.379	posner	target_response	correct	right	right	right	37
208.2	0.2	posner	invalid_cue	correct	left	n/a	n/a	38
208.4	0.384	posner	target_response	correct	left	right	right	38
211.168	0.2	posner	valid_cue	correct	left	n/a	n/a	39
211.368	0.362	posner	target_response	correct	left	left	left	39
214.536	0.2	posner	valid_cue	correct	left	n/a	n/a	40
214.736	0.295	posner	target_response	correct	left	left	left	40
218.804	0.2	posner	invalid_cue	correct	left	n/a	n/a	41
219.004	0.397	posner	target_response	correct	left	right	right	41
222.072	0.2	posner	invalid_cue	correct	right	n/a	n/a	42
222.272	0.39	posner	target_response	correct	right	left	left	42
225.44	0.2	posner	valid_cue	correct	left	n/a	n/a	43
225.64	0.327	posner	target_response	correct	left	left	left	43
228.808	0.2	posner	valid_cue	correct	right	n/a	n/a	44
229.008	0.36	posner	target_response	correct	right	right	right	44
236.278	0.2	posner	valid_cue	correct	right	n/a	n/a	45
236.478	0.341	posner	target_response	correct	right	right	right	45
243.747	0.2	posner	invalid_cue	correct	right	n/a	n/a	46
243.947	0.396	posner	target_response	correct	right	left	left	46
249.616	0.2	posner	valid_cue	correct	left	n/a	n/a	47
249.816	0.344	posner	target_response	correct	left	left	left	47
252.884	0.2	posner	invalid_cue	correct	right	n/a	n/a	48
253.084	0.458	posner	target_response	correct	right	left	left	48
255.952	0.2	posner	valid_cue	correct	left	n/a	n/a	49
256.152	0.413	posner	target_response	correct	left	left	left	49
259.92	0.2	posner	valid_cue	correct	left	n/a	n/a	50
260.12	0.337	posner	target_response	correct	left	left	left	50
263.988	0.2	posner	valid_cue	correct	right	n/a	n/a	51
264.188	0.382	posner	target_response	correct	right	right	right	51
268.956	0.2	posner	valid_cue	correct	right	n/a	n/a	52
269.156	0.346	posner	target_response	correct	right	right	right	52
272.208	0.2	posner	valid_cue	correct	left	n/a	n/a	53
272.408	0.316	posner	target_response	correct	left	left	left	53
275.275	0.2	posner	valid_cue	correct	right	n/a	n/a	54
275.475	0.423	posner	target_response	correct	right	right	right	54
278.243	0.2	posner	valid_cue	correct	left	n/a	n/a	55
278.443	0.316	posner	target_response	correct	left	left	left	55
285.713	0.2	posner	invalid_cue	correct	left	n/a	n/a	56
285.913	0.413	posner	target_response	correct	left	right	right	56
293.182	0.2	posner	valid_cue	correct	left	n/a	n/a	57
293.382	0.31	posner	target_response	correct	left	left	left	57
296.45	0.2	posner	valid_cue	correct	left	n/a	n/a	58
296.65	0.283	posner	target_response	correct	left	left	left	58
299.618	0.2	posner	valid_cue	correct	left	n/a	n/a	59
299.818	0.314	posner	target_response	correct	left	left	left	59
302.586	0.2	posner	invalid_cue	incorrect	left	n/a	n/a	60
302.786	0.25	posner	target_response	incorrect	left	right	left	60
306.654	0.2	posner	invalid_cue	correct	right	n/a	n/a	61
306.854	0.417	posner	target_response	correct	right	left	left	61
310.922	0.2	posner	invalid_cue	correct	left	n/a	n/a	62
311.122	0.385	posner	target_response	correct	left	right	right	62
318.392	0.2	posner	invalid_cue	correct	left	n/a	n/a	63
318.592	0.454	posner	target_response	correct	left	right	right	63
321.659	0.2	posner	invalid_cue	correct	right	n/a	n/a	64
321.859	0.412	posner	target_response	correct	right	left	left	64
