onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
363.185	1.004	rating_mouse_trajectory	0.6197	age	anger	female	EA	old	n/a
364.525	1.311	face	n/a	age	fear	male	African	old	task-faces/3Fear_Model3_2Male_3African_2Old.mp4
365.836	1.62	rating	0.555	age	fear	male	African	old	n/a
366.753	0.703	rating_mouse_trajectory	0.555	age	fear	male	African	old	n/a
367.741	1.313	face	n/a	age	anger	male	WC	old	task-faces/5Anger_Model5_2Male_1WC_2Old.mp4
369.054	1.752	rating	0.6622	age	anger	male	WC	old	n/a
369.554	1.252	rating_mouse_trajectory	0.6622	age	anger	male	WC	old	n/a
372.96	1.312	face	n/a	age	anger	female	WC	old	task-faces/5Anger_Model2_1Female_1WC_2Old.mp4
374.273	1.867	rating	0.4074	age	anger	female	WC	old	n/a
375.173	0.967	rating_mouse_trajectory	0.4074	age	anger	female	WC	old	n/a
377.195	1.313	face	n/a	age	anger	male	African	young	task-faces/5Anger_Model3_2Male_3African_1Young.mp4
378.508	1.102	rating	0.3265	age	anger	male	African	young	n/a
379.091	0.518	rating_mouse_trajectory	0.3265	age	anger	male	African	young	n/a
381.428	1.314	face	n/a	age	disgust	male	WC	old	task-faces/4Disgust_Model1_2Male_1WC_2Old.mp4
382.743	1.502	rating	0.8746	age	disgust	male	WC	old	n/a
383.476	0.769	rating_mouse_trajectory	0.8746	age	disgust	male	WC	old	n/a
387.661	1.3	face	n/a	age	fear	male	EA	young	task-faces/3Fear_Model5_2Male_2EA_1Young.mp4
388.962	1.844	rating	0.2961	age	fear	male	EA	young	n/a
389.595	1.211	rating_mouse_trajectory	0.2961	age	fear	male	EA	young	n/a
390.867	1.312	face	n/a	age	sad	male	EA	young	task-faces/6Sad_Model1_2Male_2EA_1Young.mp4
392.179	1.819	rating	0.2557	age	sad	male	EA	young	n/a
393.163	0.835	rating_mouse_trajectory	0.2557	age	sad	male	EA	young	n/a
396.086	1.312	face	n/a	age	surprise	female	EA	old	task-faces/2Surprise_Model1_1Female_2EA_2Old.mp4
397.398	0.958	rating	0.8018	age	surprise	female	EA	old	n/a
397.681	0.675	rating_mouse_trajectory	0.8018	age	surprise	female	EA	old	n/a
400.322	1.311	face	n/a	age	fear	female	EA	old	task-faces/3Fear_Model3_1Female_2EA_2Old.mp4
401.633	1.473	rating	0.557	age	fear	female	EA	old	n/a
402.233	0.873	rating_mouse_trajectory	0.557	age	fear	female	EA	old	n/a
405.561	1.307	face	n/a	age	anger	female	WC	young	task-faces/5Anger_Model3_1Female_1WC_1Young.mp4
406.868	1.104	rating	0.5975	age	anger	female	WC	young	n/a
407.552	0.421	rating_mouse_trajectory	0.5975	age	anger	female	WC	young	n/a
409.792	1.311	face	n/a	age	fear	female	WC	young	task-faces/3Fear_Model1_1Female_1WC_1Young.mp4
411.103	1.036	rating	0.2354	age	fear	female	WC	young	n/a
411.586	0.553	rating_mouse_trajectory	0.2354	age	fear	female	WC	young	n/a
413.008	1.313	face	n/a	age	fear	female	African	young	task-faces/3Fear_Model1_1Female_3African_1Young.mp4
414.321	1.202	rating	0.2759	age	fear	female	African	young	n/a
414.921	0.602	rating_mouse_trajectory	0.2759	age	fear	female	African	young	n/a
416.225	1.314	face	n/a	age	happy	male	WC	young	task-faces/1Happy_Model4_2Male_1WC_1Young.mp4
417.539	1.752	rating	0.379	age	happy	male	WC	young	n/a
417.972	1.319	rating_mouse_trajectory	0.379	age	happy	male	WC	young	n/a
