onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file	trial_index
512.502	0.701	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_136.jpg	221
513.52	0.701	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_502.jpg	222
514.537	0.601	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_003.jpg	223
515.454	0.501	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_170.jpg	224
521.764	2.101	tomspunt	self-doubt?	block_question_presentation	n/a	n/a	n/a	n/a	225
526.774	0.718	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_544.jpg	225
527.808	0.635	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_086.jpg	226
528.759	0.44	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_798.jpg	227
529.509	0.59	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_111.jpg	228
530.409	0.756	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_774.jpg	229
531.476	0.706	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_754.jpg	230
532.493	1.819	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_128.jpg	231
534.527	n/a	tomspunt	self-doubt?	why_face	n/a	yes	incorrect	task-tomspunt/F_584.jpg	232
539.654	2.101	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a	233
544.665	0.635	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_128.jpg	233
545.615	0.468	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_618.jpg	234
546.399	0.485	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_598.jpg	235
547.199	0.434	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_743.jpg	236
547.949	0.534	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_774.jpg	237
548.799	0.534	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_582.jpg	238
549.65	0.551	tomspunt	looking at camera?	how_face	yes	no	incorrect	task-tomspunt/F_754.jpg	239
550.517	0.568	tomspunt	looking at camera?	how_face	no	yes	incorrect	task-tomspunt/F_129.jpg	240
561.128	2.101	tomspunt	both hands?	block_question_presentation	n/a	n/a	n/a	n/a	241
566.139	0.726	tomspunt	both hands?	how_hand	no	yes	incorrect	task-tomspunt/H_167.jpg	241
567.173	0.651	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_091.jpg	242
568.14	0.708	tomspunt	both hands?	how_hand	yes	no	incorrect	task-tomspunt/H_627.jpg	243
569.157	0.892	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_027.jpg	244
570.357	0.618	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_111.jpg	245
571.291	0.624	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_159.jpg	246
572.225	0.807	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_581.jpg	247
573.342	0.651	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_349.jpg	248
578.968	2.101	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a	249
583.979	0.586	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg	249
584.88	0.702	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg	250
585.897	0.635	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg	251
586.847	0.685	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg	252
587.847	0.735	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg	253
588.898	0.785	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg	254
589.998	0.685	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg	255
590.999	0.618	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_189.jpg	256
