onset	duration	event_type	response_accuracy	cue_location	target_location	button_press	trial_index
550.186986446381	0.278815507888794	target_response	correct	left	left	left	111
554.355207204819	0.2	valid_cue	correct	right	n/a	n/a	112
554.555282592773	0.440274477005005	target_response	correct	right	right	right	112
558.223315954208	0.2	invalid_cue	correct	right	n/a	n/a	113
558.423391342163	0.389266729354858	target_response	correct	right	left	left	113
561.891350984573	0.2	invalid_cue	correct	right	n/a	n/a	114
562.091426610947	0.638334274291992	target_response	correct	right	left	left	114
568.560505390167	0.2	invalid_cue	correct	right	n/a	n/a	115
568.760580778122	0.581339120864868	target_response	correct	right	left	left	115
572.328577518463	0.2	valid_cue	correct	right	n/a	n/a	116
572.528651475906	0.763332605361938	target_response	correct	right	right	right	116
575.696499824524	0.2	invalid_cue	correct	left	n/a	n/a	117
575.896574020386	0.588680028915405	target_response	correct	left	right	right	117
580.865092992783	0.2	valid_cue	correct	left	n/a	n/a	118
581.065168380737	0.567344665527344	target_response	correct	left	left	left	118
590.635404348373	0.2	valid_cue	correct	left	n/a	n/a	119
590.835478544235	0.943082332611084	target_response	correct	left	left	left	119
600.00556397438	0.2	valid_cue	correct	left	n/a	n/a	120
600.205639123917	0.465299844741821	target_response	correct	left	left	left	120
