onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
451.077	0.3	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a
470.184	2.101	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a
470.184	0.3	tomspunt	open mouth?	block_question_presentation	n/a	n/a	n/a	n/a
489.158	2.084	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a
489.158	0.3	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a
506.665	2.101	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a
506.665	0.3	tomspunt	competing?	block_question_presentation	n/a	n/a	n/a	n/a
524.538	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a
524.538	0.3	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a
542.078	2.101	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a
542.078	0.3	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a
560.751	2.101	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a
560.751	0.3	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a
578.975	2.101	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a
578.975	0.3	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a
