onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
178.785	1.299	face	n/a	intensity	happy	female	EA	young	task-faces/1Happy_Model4_1Female_2EA_1Young.mp4
180.083	1.035	rating	0.6319	intensity	happy	female	EA	young	n/a
180.55	0.568	rating_mouse_trajectory	0.6319	intensity	happy	female	EA	young	n/a
182.989	2.046	face	n/a	intensity	pleasure	male	WC	young	task-faces/8Pleasure_Model5_2Male_1WC_1Young.mp4
185.035	0.768	rating	0.7472	intensity	pleasure	male	WC	young	n/a
185.085	0.718	rating_mouse_trajectory	0.7472	intensity	pleasure	male	WC	young	n/a
186.951	2.035	face	n/a	intensity	pain	female	African	old	task-faces/7Pain_Model3_1Female_3African_2Old.mp4
188.987	0.885	rating	0.7593	intensity	pain	female	African	old	n/a
189.203	0.668	rating_mouse_trajectory	0.7593	intensity	pain	female	African	old	n/a
192.902	2.037	face	n/a	intensity	pain	male	African	young	task-faces/7Pain_Model4_2Male_3African_1Young.mp4
194.939	0.675	rating	0.3103	intensity	pain	male	African	young	n/a
195.205	0.408	rating_mouse_trajectory	0.3103	intensity	pain	male	African	young	n/a
198.862	1.312	face	n/a	intensity	disgust	female	EA	old	task-faces/4Disgust_Model3_1Female_2EA_2Old.mp4
200.174	0.74	rating	0.6926	intensity	disgust	female	EA	old	n/a
200.441	0.473	rating_mouse_trajectory	0.6926	intensity	disgust	female	EA	old	n/a
203.102	1.307	face	n/a	intensity	surprise	female	WC	young	task-faces/2Surprise_Model2_1Female_1WC_1Young.mp4
204.409	0.821	rating	0.2698	intensity	surprise	female	WC	young	n/a
204.809	0.421	rating_mouse_trajectory	0.2698	intensity	surprise	female	WC	young	n/a
207.333	1.311	face	n/a	intensity	anger	female	WC	young	task-faces/5Anger_Model5_1Female_1WC_1Young.mp4
208.644	0.753	rating	0.5975	intensity	anger	female	WC	young	n/a
209.011	0.386	rating_mouse_trajectory	0.5975	intensity	anger	female	WC	young	n/a
211.551	1.311	face	n/a	intensity	fear	male	WC	young	task-faces/3Fear_Model5_2Male_1WC_1Young.mp4
212.862	1.038	rating	0.5894	intensity	fear	male	WC	young	n/a
213.462	0.438	rating_mouse_trajectory	0.5894	intensity	fear	male	WC	young	n/a
215.769	2.045	face	n/a	intensity	pleasure	female	EA	old	task-faces/8Pleasure_Model3_1Female_2EA_2Old.mp4
217.814	0.835	rating	0.3912	intensity	pleasure	female	EA	old	n/a
