onset	duration	trial_type	response_angle	response_label	block_condition	mentalizing_level	stim_file_TODO
573.802	2.451	rating_mouse_trajectory	4.36	Weak	similarity	n/a	n/a
578.828	5.001	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
583.889	2.657	rating	11.85	Moderate	similarity	n/a	n/a
584.239	2.307	rating_mouse_trajectory	11.85	Moderate	similarity	n/a	n/a
588.969	5.226	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-10_content-captureflag.mp4
594.259	2.753	rating	36.2	Strong	similarity	n/a	n/a
594.509	2.503	rating_mouse_trajectory	36.2	Strong	similarity	n/a	n/a
599.278	3.188	cue	n/a	n/a	likeability	n/a	n/a
602.466	5.115	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
607.648	2.935	rating	45.7	Strong	likeability	n/a	n/a
608.431	2.151	rating_mouse_trajectory	45.7	Strong	likeability	n/a	n/a
612.731	6.198	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-08_content-dancewithdeath.mp4
618.985	2.594	rating	35.51	Strong	likeability	n/a	n/a
619.402	2.177	rating_mouse_trajectory	35.51	Strong	likeability	n/a	n/a
624.1	5.563	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-20_content-cupstacking.mp4
629.722	3.223	rating	48.35	Strong	likeability	n/a	n/a
630.706	2.24	rating_mouse_trajectory	48.35	Strong	likeability	n/a	n/a
634.741	3.182	cue	n/a	n/a	similarity	n/a	n/a
637.923	6.689	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-02_content-HB.mp4
644.678	2.251	rating	8.0	Weak	similarity	n/a	n/a
645.161	1.768	rating_mouse_trajectory	8.0	Weak	similarity	n/a	n/a
649.774	6.842	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-04_content-unefille.mp4
656.683	3.151	rating	22.12	Moderate	similarity	n/a	n/a
657.299	2.535	rating_mouse_trajectory	22.12	Moderate	similarity	n/a	n/a
661.817	5.112	video	n/a	n/a	similarity	n/a	task-shortvideo/ses-03_run-01_order-06_content-war.mp4
667.003	4.018	rating	21.71	Moderate	similarity	n/a	n/a
668.086	2.935	rating_mouse_trajectory	21.71	Moderate	similarity	n/a	n/a
672.038	3.147	cue	n/a	n/a	likeability	n/a	n/a
675.186	5.006	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-12_content-photography.mp4
680.258	2.938	rating	46.06	Strong	likeability	n/a	n/a
680.591	2.604	rating_mouse_trajectory	46.06	Strong	likeability	n/a	n/a
685.326	5.387	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
690.779	2.735	rating	56.45	Strong	likeability	n/a	n/a
691.345	2.168	rating_mouse_trajectory	56.45	Strong	likeability	n/a	n/a
695.883	5.333	video	n/a	n/a	likeability	n/a	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
701.283	2.001	rating	50.39	Strong	likeability	n/a	n/a
701.599	1.684	rating_mouse_trajectory	50.39	Strong	likeability	n/a	n/a
706.301	3.151	cue	n/a	n/a	mentalizing	enjoy	n/a
709.452	6.127	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-14_content-alwaysafamily.mp4
715.638	3.408	rating	12.13	Moderate	mentalizing	enjoy	n/a
717.221	1.825	rating_mouse_trajectory	12.13	Moderate	mentalizing	enjoy	n/a
720.714	5.395	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-19_content-beatbox.mp4
726.175	2.487	rating	100.44	Strongest possible	mentalizing	enjoy	n/a
726.858	1.804	rating_mouse_trajectory	100.44	Strongest possible	mentalizing	enjoy	n/a
731.292	5.321	video	n/a	n/a	mentalizing	enjoy	task-shortvideo/ses-03_run-01_order-18_content-angrygrandpa.mp4
736.679	3.085	rating	92.82	Very strong	mentalizing	enjoy	n/a
737.362	2.401	rating_mouse_trajectory	92.82	Very strong	mentalizing	enjoy	n/a
