onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
242.68	0.914	memory	test	test_new	correct	task-memory/obj271skis.png	new	n/a
245.464	1.178	memory	test	test_new	correct	task-memory/obj228porcupine.png	new	n/a
248.499	1.499	memory	test	test_new	incorrect	task-memory/obj309top.png	old	n/a
251.083	1.142	memory	test	test_new	correct	task-memory/obj200orange.png	new	n/a
253.651	0.927	memory	test	test_old	correct	task-memory/obj332well.png	old	n/a
256.285	1.229	memory	test	test_new	correct	task-memory/obj034bowl.png	new	n/a
259.203	1.437	memory	test	test_new	correct	task-memory/obj098fan.png	new	n/a
261.97	0.904	memory	test	test_old	correct	task-memory/obj336wheelchair.png	old	n/a
264.755	1.132	memory	test	test_old	incorrect	task-memory/obj154key.png	new	n/a
267.606	0.821	memory	test	test_old	correct	task-memory/obj069corn.png	old	n/a
270.507	0.739	memory	test	test_old	correct	task-memory/obj303tiger.png	old	n/a
273.225	0.641	memory	test	test_old	correct	task-memory/obj214pencil.png	old	n/a
276.092	1.074	memory	test	test_new	correct	task-memory/obj301thimble.png	new	n/a
278.993	0.952	memory	test	test_old	correct	task-memory/obj306toilet.png	old	n/a
282.028	0.787	memory	test	test_new	correct	task-memory/obj026bird.png	new	n/a
284.712	0.791	memory	test	test_old	correct	task-memory/obj260scissors.png	old	n/a
287.447	0.812	memory	test	test_old	correct	task-memory/obj192nail.png	old	n/a
290.181	1.008	memory	test	test_new	correct	task-memory/obj280sofa.png	new	n/a
292.899	1.316	memory	test	test_new	correct	task-memory/obj115funnel.png	new	n/a
295.65	0.714	memory	test	test_old	correct	task-memory/obj141hoof.png	old	n/a
298.284	0.846	memory	test	test_old	correct	task-memory/obj274slide.png	old	n/a
