onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
533.602	0.535	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg	230
534.453	0.501	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg	231
535.27	0.568	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	232
542.08	2.084	tomspunt	looking at camera?	block_question_presentation	n/a	n/a	n/a	n/a	233
547.074	1.051	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_128.jpg	233
548.441	0.658	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_754.jpg	234
549.408	0.49	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_598.jpg	235
550.209	0.502	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_129.jpg	236
551.026	0.502	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_618.jpg	237
551.843	0.568	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_743.jpg	238
552.726	0.535	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_774.jpg	239
553.577	0.635	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_582.jpg	240
560.754	2.101	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a	241
565.764	0.468	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_019.jpg	241
566.548	0.468	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_126.jpg	242
567.332	0.585	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_130.jpg	243
568.232	0.685	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_332.jpg	244
569.232	0.735	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_024.jpg	245
570.283	0.532	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_483.jpg	246
571.116	0.668	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_261.jpg	247
572.1	0.535	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_502.jpg	248
578.96	2.101	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a	249
583.971	0.451	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg	249
584.738	0.801	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_189.jpg	250
585.855	0.777	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg	251
586.939	0.652	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg	252
587.906	0.659	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg	253
588.873	0.809	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg	254
589.99	0.876	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg	255
591.174	0.585	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg	256
