onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
209.55	0.702	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_483.jpg
210.567	0.612	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_132.jpg
211.484	0.935	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_126.jpg
212.734	0.701	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_136.jpg
213.751	1.118	tomspunt	competing?	why_hand	no	no	correct	task-tomspunt/H_502.jpg
215.185	0.668	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_003.jpg
216.169	0.61	tomspunt	competing?	why_hand	yes	yes	correct	task-tomspunt/H_170.jpg
226.74	0.839	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_544.jpg
227.89	0.772	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_086.jpg
228.974	0.639	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_798.jpg
229.924	0.638	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_111.jpg
230.874	0.755	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_774.jpg
231.941	0.804	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_754.jpg
233.059	0.986	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_128.jpg
234.359	1.103	tomspunt	self-doubt?	why_face	no	yes	incorrect	task-tomspunt/F_584.jpg
245.797	1.018	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_128.jpg
247.13	0.585	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_618.jpg
248.031	0.748	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_598.jpg
249.081	0.564	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_743.jpg
249.948	0.702	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_774.jpg
250.965	1.085	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_582.jpg
252.366	0.779	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_754.jpg
253.45	0.702	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_129.jpg
264.587	1.091	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_167.jpg
265.988	0.841	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_091.jpg
267.138	0.841	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_627.jpg
268.288	0.819	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_027.jpg
269.422	0.852	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_111.jpg
270.589	0.756	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_159.jpg
271.656	0.856	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_581.jpg
272.823	0.706	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_349.jpg
283.377	1.485	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg
285.178	1.101	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg
286.595	1.352	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg
288.263	1.218	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg
289.796	0.852	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg
290.964	0.915	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg
292.181	0.919	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg
293.414	1.435	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_189.jpg
304.852	0.968	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg
306.136	0.576	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg
307.019	0.976	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg
308.303	0.843	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg
309.454	0.652	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg
310.421	0.641	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg
311.371	0.585	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg
312.271	0.907	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg
322.642	0.804	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg
323.759	0.803	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg
324.876	0.586	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg
325.776	1.252	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg
327.344	0.651	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg
