onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
136.272	0.722	rating_mouse_trajectory	0.2678	sex	pain	female	EA	old	n/a
137.445	1.312	face	n/a	sex	anger	female	African	young	task-faces/5Anger_Model1_1Female_3African_1Young.mp4
138.756	0.755	rating	0.6622	sex	anger	female	African	young	n/a
139.039	0.471	rating_mouse_trajectory	0.6622	sex	anger	female	African	young	n/a
140.663	2.044	face	n/a	sex	pleasure	male	WC	old	task-faces/8Pleasure_Model3_2Male_1WC_2Old.mp4
142.708	1.036	rating	0.0	sex	pleasure	male	WC	old	n/a
142.824	0.92	rating_mouse_trajectory	0.0	sex	pleasure	male	WC	old	n/a
145.615	1.311	face	n/a	sex	fear	male	African	young	task-faces/3Fear_Model5_2Male_3African_1Young.mp4
146.926	1.752	rating	0.646	sex	fear	male	African	young	n/a
147.442	1.235	rating_mouse_trajectory	0.646	sex	fear	male	African	young	n/a
148.83	2.047	face	n/a	sex	pleasure	male	WC	young	task-faces/8Pleasure_Model4_2Male_1WC_1Young.mp4
150.877	0.918	rating	0.1242	sex	pleasure	male	WC	young	n/a
150.994	0.802	rating_mouse_trajectory	0.1242	sex	pleasure	male	WC	young	n/a
152.781	2.047	face	n/a	sex	pain	female	WC	young	task-faces/7Pain_Model1_1Female_1WC_1Young.mp4
154.829	0.654	rating	0.0	sex	pain	female	WC	young	n/a
154.879	0.604	rating_mouse_trajectory	0.0	sex	pain	female	WC	young	n/a
158.749	1.315	face	n/a	sex	sad	female	WC	young	task-faces/6Sad_Model4_1Female_1WC_1Young.mp4
160.064	0.835	rating	0.0	sex	sad	female	WC	young	n/a
160.114	0.785	rating_mouse_trajectory	0.0	sex	sad	female	WC	young	n/a
163.971	1.312	face	n/a	sex	happy	male	African	old	task-faces/1Happy_Model5_2Male_3African_2Old.mp4
165.283	1.545	rating	0.1505	sex	happy	male	African	old	n/a
165.566	1.261	rating_mouse_trajectory	0.1505	sex	happy	male	African	old	n/a
170.199	1.319	face	n/a	sex	surprise	male	WC	old	task-faces/2Surprise_Model2_2Male_1WC_2Old.mp4
171.518	0.635	rating	0.093	sex	surprise	male	WC	old	n/a
171.568	0.585	rating_mouse_trajectory	0.093	sex	surprise	male	WC	old	n/a
174.442	1.311	face	n/a	sex	disgust	female	African	young	task-faces/4Disgust_Model5_1Female_3African_1Young.mp4
175.753	0.858	rating	0.5934	sex	disgust	female	African	young	n/a
175.803	0.808	rating_mouse_trajectory	0.5934	sex	disgust	female	African	young	n/a
178.677	1.311	face	n/a	sex	happy	female	WC	young	task-faces/1Happy_Model5_1Female_1WC_1Young.mp4
179.988	0.723	rating	0.0	sex	happy	female	WC	young	n/a
180.038	0.673	rating_mouse_trajectory	0.0	sex	happy	female	WC	young	n/a
181.911	2.045	face	n/a	sex	pleasure	female	WC	old	task-faces/8Pleasure_Model3_1Female_1WC_2Old.mp4
183.956	0.454	rating	0.0	sex	pleasure	female	WC	old	n/a
184.023	0.388	rating_mouse_trajectory	0.0	sex	pleasure	female	WC	old	n/a
186.88	1.311	face	n/a	sex	fear	male	WC	young	task-faces/3Fear_Model4_2Male_1WC_1Young.mp4
188.191	1.87	rating	0.0	sex	fear	male	WC	young	n/a
189.091	0.97	rating_mouse_trajectory	0.0	sex	fear	male	WC	young	n/a
190.096	1.297	face	n/a	sex	happy	female	African	old	task-faces/1Happy_Model3_1Female_3African_2Old.mp4
191.392	1.768	rating	0.6218	sex	happy	female	African	old	n/a
191.526	1.635	rating_mouse_trajectory	0.6218	sex	happy	female	African	old	n/a
195.299	1.312	face	n/a	sex	surprise	male	WC	young	task-faces/2Surprise_Model5_2Male_1WC_1Young.mp4
196.611	0.902	rating	0.0	sex	surprise	male	WC	young	n/a
196.661	0.852	rating_mouse_trajectory	0.0	sex	surprise	male	WC	young	n/a
200.533	1.314	face	n/a	sex	anger	female	WC	young	task-faces/5Anger_Model4_1Female_1WC_1Young.mp4
201.846	0.685	rating	0.0	sex	anger	female	WC	young	n/a
201.896	0.635	rating_mouse_trajectory	0.0	sex	anger	female	WC	young	n/a
204.766	1.316	face	n/a	sex	surprise	female	African	young	task-faces/2Surprise_Model5_1Female_3African_1Young.mp4
206.081	1.579	rating	0.6845	sex	surprise	female	African	young	n/a
206.231	1.429	rating_mouse_trajectory	0.6845	sex	surprise	female	African	young	n/a
208.999	1.317	face	n/a	sex	surprise	female	WC	old	task-faces/2Surprise_Model2_1Female_1WC_2Old.mp4
210.316	1.544	rating	0.0797	sex	surprise	female	WC	old	n/a
210.583	1.278	rating_mouse_trajectory	0.0797	sex	surprise	female	WC	old	n/a
