onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
163.871	1.328	face	n/a	sex	happy	male	African	old	task-faces/1Happy_Model5_2Male_3African_2Old.mp4
165.2	0.702	rating	0.0	sex	happy	male	African	old	n/a
165.516	0.385	rating_mouse_trajectory	0.0	sex	happy	male	African	old	n/a
170.107	1.328	face	n/a	sex	surprise	male	WC	old	task-faces/2Surprise_Model2_2Male_1WC_2Old.mp4
171.435	0.707	rating	0.0	sex	surprise	male	WC	old	n/a
171.752	0.391	rating_mouse_trajectory	0.0	sex	surprise	male	WC	old	n/a
174.359	1.311	face	n/a	sex	disgust	female	African	young	task-faces/4Disgust_Model5_1Female_3African_1Young.mp4
175.67	1.223	rating	0.6804	sex	disgust	female	African	young	n/a
176.054	0.839	rating_mouse_trajectory	0.6804	sex	disgust	female	African	young	n/a
178.594	1.311	face	n/a	sex	happy	female	WC	young	task-faces/1Happy_Model5_1Female_1WC_1Young.mp4
179.905	0.804	rating	0.8948	sex	happy	female	WC	young	n/a
180.272	0.438	rating_mouse_trajectory	0.8948	sex	happy	female	WC	young	n/a
181.828	2.045	face	n/a	sex	pleasure	female	WC	old	task-faces/8Pleasure_Model3_1Female_1WC_2Old.mp4
183.873	0.669	rating	0.0	sex	pleasure	female	WC	old	n/a
184.173	0.369	rating_mouse_trajectory	0.0	sex	pleasure	female	WC	old	n/a
186.779	1.312	face	n/a	sex	fear	male	WC	young	task-faces/3Fear_Model4_2Male_1WC_1Young.mp4
188.092	0.718	rating	0.0	sex	fear	male	WC	young	n/a
188.442	0.368	rating_mouse_trajectory	0.0	sex	fear	male	WC	young	n/a
190.014	1.312	face	n/a	sex	happy	female	African	old	task-faces/1Happy_Model3_1Female_3African_2Old.mp4
191.326	0.718	rating	0.0	sex	happy	female	African	old	n/a
191.643	0.401	rating_mouse_trajectory	0.0	sex	happy	female	African	old	n/a
195.232	1.312	face	n/a	sex	surprise	male	WC	young	task-faces/2Surprise_Model5_2Male_1WC_1Young.mp4
196.545	0.685	rating	0.0	sex	surprise	male	WC	young	n/a
196.845	0.385	rating_mouse_trajectory	0.0	sex	surprise	male	WC	young	n/a
200.464	1.332	face	n/a	sex	anger	female	WC	young	task-faces/5Anger_Model4_1Female_1WC_1Young.mp4
201.797	1.068	rating	0.7977	sex	anger	female	WC	young	n/a
202.08	0.785	rating_mouse_trajectory	0.7977	sex	anger	female	WC	young	n/a
204.714	1.318	face	n/a	sex	surprise	female	African	young	task-faces/2Surprise_Model5_1Female_3African_1Young.mp4
206.032	1.668	rating	0.8402	sex	surprise	female	African	young	n/a
206.348	1.352	rating_mouse_trajectory	0.8402	sex	surprise	female	African	young	n/a
